"","sibs","age","incom16","reg16","res16","pasei10","masei10","granborn","family16","age_num","sibs_num","pasei10_num","masei10_num"
"31","6",65,"average","mountain","in a suburb near a large city","67.7","35.8","none","both own mother and father",65,6,67.7,35.8
"34","1",72,"average","new england","in a medium-size city (50,000-250,000)","43","38.3","four","both own mother and father",72,1,43,38.3
"35","0",62,"above average","middle atlantic","in a suburb near a large city","66.2","35.1","two","both own mother and father",62,0,66.2,35.1
"36","1",46,"below average","middle atlantic","in a medium-size city (50,000-250,000)","48.8","20.1","one","both own mother and father",46,1,48.8,20.1
"37","3",84,"below average","middle atlantic","in a medium-size city (50,000-250,000)","32","20.7","four","both own mother and father",84,3,32,20.7
"38","skipped on web",79,"below average","middle atlantic","in a medium-size city (50,000-250,000)","46.5","iap","four","both own mother and father",79,NA,46.5,NA
"39","1",38,"far above average","middle atlantic","in a suburb near a large city","38.3","38.8","two","both own mother and father",38,1,38.3,38.8
"42","6",65,"below average","middle atlantic","in a suburb near a large city","iap","38.3","iap","both own mother and father",65,6,NA,38.3
"43","4",29,"average","east north central","in a suburb near a large city","92","iap","four","both own mother and father",29,4,92,NA
"44","0",30,"average","middle atlantic","in a small city or town (under 50,000)","62","80.90000000000001","none","both own mother and father",30,0,62,80.9
"45","0",30,"average","middle atlantic","in a suburb near a large city","31.2","12.6","four","both own mother and father",30,0,31.2,12.6
"48","1",52,"above average","middle atlantic","in a suburb near a large city","67.7","77.2","three","both own mother and father",52,1,67.7,77.2
"49","0",89,"average","foreign","in a suburb near a large city","68.59999999999999","iap","don't know","both own mother and father",NA,0,68.6,NA
"50","1",70,"average","new england","in a suburb near a large city","45.4","39.7","four","both own mother and father",70,1,45.4,39.7
"51","2",59,"above average","new england","in a small city or town (under 50,000)","83.8","62.9","none","both own mother and father",59,2,83.8,62.9
"52","2",46,"above average","foreign","in a large city (over 250,000)","77.40000000000001","67.7","one","both own mother and father",46,2,77.4,67.7
"53","1",43,"far above average","mountain","in a suburb near a large city","85.2","76.3","four","both own mother and father",43,1,85.2,76.3
"54","33",60,"average","middle atlantic","in a small city or town (under 50,000)","76.3","iap","four","both own mother and father",60,33,76.3,NA
"56","7",66,"average","new england","in a large city (over 250,000)","21.5","19.6","one","both own mother and father",66,7,21.5,19.6
"59","5",62,"above average","foreign","in a small city or town (under 50,000)","77.40000000000001","iap","four","both own mother and father",62,5,77.4,NA
"60","1",36,"don't know","middle atlantic","in a large city (over 250,000)","iap","20.1","four","both own mother and father",36,1,NA,20.1
"61","1",49,"average","middle atlantic","in a suburb near a large city","25.2","45.1","four","both own mother and father",49,1,25.2,45.1
"63","9",62,"below average","foreign","in open country but not on a farm","14","iap","four","both own mother and father",62,9,14,NA
"64","9",70,"below average","foreign","in open country but not on a farm","14","iap","four","both own mother and father",70,9,14,NA
"66","4",34,"average","middle atlantic","in a large city (over 250,000)","24.2","iap","none","both own mother and father",34,4,24.2,NA
"68","13",47,"below average","foreign","in a small city or town (under 50,000)","49.6","iap","four","both own mother and father",47,13,49.6,NA
"70","8",82,"average","foreign","in a small city or town (under 50,000)","39.9","iap","four","both own mother and father",82,8,39.9,NA
"71","13",67,"below average","middle atlantic","in a large city (over 250,000)","31.3","12.6","none","both own mother and father",67,13,31.3,12.6
"74","12",65,"far below average","foreign","in a medium-size city (50,000-250,000)","39.9","iap","four","both own mother and father",65,12,39.9,NA
"76","36",55,"average","foreign","in a small city or town (under 50,000)","39.9","iap","four","both own mother and father",55,36,39.9,NA
"77","4",86,"far above average","middle atlantic","in a large city (over 250,000)","iap","iap","iap","both own mother and father",86,4,NA,NA
"78","3",31,"average","middle atlantic","in a large city (over 250,000)","iap","iap","four","both own mother and father",31,3,NA,NA
"79","1",62,"below average","middle atlantic","in a large city (over 250,000)","35.8","80.90000000000001","four","both own mother and father",62,1,35.8,80.9
"80","6",23,"below average","foreign","in a large city (over 250,000)","26.8","20.1","four","both own mother and father",23,6,26.8,20.1
"84","2",24,"far below average","middle atlantic","in a large city (over 250,000)","iap","84.2","four","both own mother and father",24,2,NA,84.2
"86","3",79,"average","new england","in a small city or town (under 50,000)","50.4","iap","two","both own mother and father",79,3,50.4,NA
"87","3",22,"below average","middle atlantic","in a large city (over 250,000)","45.4","28.7","four","both own mother and father",22,3,45.4,28.7
"88","1",34,"above average","pacific","in a large city (over 250,000)","67.7","52.6","three","both own mother and father",34,1,67.7,52.6
"90","2",29,"above average","new england","in a medium-size city (50,000-250,000)","67.7","iap","two","both own mother and father",29,2,67.7,NA
"91","3",36,"average","new england","in a small city or town (under 50,000)","53","iap","none","both own mother and father",36,3,53,NA
"92","3",29,"average","west south central","in a suburb near a large city","53.2","71.8","three","both own mother and father",29,3,53.2,71.8
"93","4",47,"far below average","middle atlantic","in a large city (over 250,000)","50.4","27","none","both own mother and father",47,4,50.4,27
"96","1",29,"above average","pacific","in a large city (over 250,000)","76.3","91.09999999999999","four","both own mother and father",29,1,76.3,91.1
"97","2",46,"average","middle atlantic","in a large city (over 250,000)","41","25.7","four","both own mother and father",46,2,41,25.7
"98","6",71,"average","foreign","in a medium-size city (50,000-250,000)","35.8","20.7","four","both own mother and father",71,6,35.8,20.7
"99","1",28,"average","middle atlantic","in a medium-size city (50,000-250,000)","26.5","20.1","four","both own mother and father",28,1,26.5,20.1
"100","4",38,"average","middle atlantic","in a large city (over 250,000)","43","84.2","four","both own mother and father",38,4,43,84.2
"102","3",34,"average","middle atlantic","in a large city (over 250,000)","24.1","38.8","don't know","both own mother and father",34,3,24.1,38.8
"104","1",63,"average","middle atlantic","in a large city (over 250,000)","51.5","39.7","none","both own mother and father",63,1,51.5,39.7
"105","0",82,"average","middle atlantic","in a large city (over 250,000)","24","84.2","four","both own mother and father",82,0,24,84.2
"106","2",47,"above average","middle atlantic","in a suburb near a large city","38.8","21.8","three","both own mother and father",47,2,38.8,21.8
"107","1",40,"average","middle atlantic","in a small city or town (under 50,000)","71.8","84.2","none","both own mother and father",40,1,71.8,84.2
"108","9",71,"below average","foreign","in a suburb near a large city","39.9","26.5","four","both own mother and father",71,9,39.9,26.5
"109","2",63,"above average","middle atlantic","in a suburb near a large city","86.5","iap","two","both own mother and father",63,2,86.5,NA
"110","5",89,"average","middle atlantic","in a suburb near a large city","65.09999999999999","iap","none","both own mother and father",NA,5,65.1,NA
"111","3",61,"average","middle atlantic","in a small city or town (under 50,000)","50.4","38.8","none","both own mother and father",61,3,50.4,38.8
"112","4",52,"far below average","middle atlantic","in a suburb near a large city","34.6","38.3","four","both own mother and father",52,4,34.6,38.3
"113","6",48,"average","middle atlantic","in a suburb near a large city","43","21.8","none","both own mother and father",48,6,43,21.8
"114","1",40,"above average","middle atlantic","in a medium-size city (50,000-250,000)","37.6","57.8","two","both own mother and father",40,1,37.6,57.8
"116","11",44,"below average","foreign","in a suburb near a large city","18.6","iap","four","both own mother and father",44,11,18.6,NA
"117","10",42,"below average","foreign","in open country but not on a farm","14","iap","four","both own mother and father",42,10,14,NA
"118","2",46,"average","middle atlantic","in a small city or town (under 50,000)","65.3","38.8","none","both own mother and father",46,2,65.3,38.8
"121","10",36,"above average","middle atlantic","in a suburb near a large city","25.2","76.3","none","both own mother and father",36,10,25.2,76.3
"122","2",82,"below average","middle atlantic","in a suburb near a large city","26.9","35.8","don't know","both own mother and father",82,2,26.9,35.8
"123","4",65,"average","middle atlantic","in a suburb near a large city","67.7","12.6","four","both own mother and father",65,4,67.7,12.6
"125","4",69,"below average","foreign","in a small city or town (under 50,000)","iap","26.8","four","both own mother and father",69,4,NA,26.8
"129","2",61,"don't know","foreign","in a small city or town (under 50,000)","50.3","13.2","four","both own mother and father",61,2,50.3,13.2
"132","3",43,"average","foreign","in a large city (over 250,000)","85.2","50","four","both own mother and father",43,3,85.2,50
"134","0",80,"far above average","middle atlantic","in a large city (over 250,000)","57.8","iap","one","both own mother and father",80,0,57.8,NA
"137","6",56,"average","middle atlantic","in a large city (over 250,000)","76.3","33.2","four","both own mother and father",56,6,76.3,33.2
"139","3",23,"far above average","west south central","in a large city (over 250,000)","92.8","59.1","none","both own mother and father",23,3,92.8,59.1
"140","3",34,"far below average","middle atlantic","in a large city (over 250,000)","19.6","21.6","four","both own mother and father",34,3,19.6,21.6
"142","9",79,"don't know","foreign","in a suburb near a large city","23.3","iap","four","both own mother and father",79,9,23.3,NA
"143","1",36,"average","middle atlantic","in a large city (over 250,000)","52.4","50.7","four","both own mother and father",36,1,52.4,50.7
"145","4",69,"average","middle atlantic","in a large city (over 250,000)","28.7","24.2","four","both own mother and father",69,4,28.7,24.2
"146","7",56,"average","foreign","in a small city or town (under 50,000)","24.6","12.6","four","both own mother and father",56,7,24.6,12.6
"148","7",36,"average","middle atlantic","in a suburb near a large city","45.4","56.9","four","both own mother and father",36,7,45.4,56.9
"150","1",29,"above average","middle atlantic","in a large city (over 250,000)","76.3","38.3","four","both own mother and father",29,1,76.3,38.3
"151","2",44,"below average","middle atlantic","in a large city (over 250,000)","25","iap","don't know","both own mother and father",44,2,25,NA
"152","2",37,"below average","middle atlantic","in a large city (over 250,000)","iap","iap","none","both own mother and father",37,2,NA,NA
"153","1",70,"average","middle atlantic","in a large city (over 250,000)","76.3","35.1","four","both own mother and father",70,1,76.3,35.1
"157","7",83,"average","foreign","in a large city (over 250,000)","86.09999999999999","iap","four","both own mother and father",83,7,86.1,NA
"158","1",71,"below average","middle atlantic","in a large city (over 250,000)","23.7","iap","two","both own mother and father",71,1,23.7,NA
"159","2",68,"below average","middle atlantic","in a large city (over 250,000)","39.7","iap","three","both own mother and father",68,2,39.7,NA
"161","6",74,"below average","foreign","in a large city (over 250,000)","59.9","iap","four","both own mother and father",74,6,59.9,NA
"162","no answer",46,"don't know","foreign","in open country but not on a farm","iap","iap","four","both own mother and father",46,NA,NA,NA
"163","6",48,"average","middle atlantic","in a large city (over 250,000)","43","iap","four","both own mother and father",48,6,43,NA
"164","2",55,"average","middle atlantic","in a suburb near a large city","80.90000000000001","80.90000000000001","three","both own mother and father",55,2,80.9,80.9
"165","1",46,"average","middle atlantic","in a suburb near a large city","24.1","38.8","none","both own mother and father",46,1,24.1,38.8
"166","2",40,"below average","middle atlantic","in a suburb near a large city","25","62","none","both own mother and father",40,2,25,62
"167","3",63,"above average","middle atlantic","in a suburb near a large city","72.5","38.8","none","both own mother and father",63,3,72.5,38.8
"168","3",65,"below average","middle atlantic","in a suburb near a large city","36.2","26.1","two","both own mother and father",65,3,36.2,26.1
"172","2",34,"average","middle atlantic","in a suburb near a large city","62","26.1","none","both own mother and father",34,2,62,26.1
"173","2",29,"average","middle atlantic","in a suburb near a large city","81.5","84.2","none","both own mother and father",29,2,81.5,84.2
"174","2",87,"below average","middle atlantic","in a large city (over 250,000)","39.7","iap","don't know","both own mother and father",87,2,39.7,NA
"175","1",41,"average","middle atlantic","in a suburb near a large city","62.9","80.90000000000001","four","both own mother and father",41,1,62.9,80.9
"176","2",39,"far below average","middle atlantic","in a medium-size city (50,000-250,000)","27.2","21.8","four","both own mother and father",39,2,27.2,21.8
"177","2",63,"above average","middle atlantic","in a medium-size city (50,000-250,000)","59.8","65.3","none","both own mother and father",63,2,59.8,65.3
"178","1",41,"average","middle atlantic","in a medium-size city (50,000-250,000)","23.3","25.7","iap","both own mother and father",41,1,23.3,25.7
"180","1",74,"average","middle atlantic","in a medium-size city (50,000-250,000)","25.2","iap","four","both own mother and father",74,1,25.2,NA
"182","3",53,"below average","middle atlantic","in a medium-size city (50,000-250,000)","32","59.8","none","both own mother and father",53,3,32,59.8
"184","5",62,"average","south atlantic","in open country but not on a farm","20.3","iap","none","both own mother and father",62,5,20.3,NA
"185","3",54,"average","foreign","in open country but not on a farm","65.3","39.7","four","both own mother and father",54,3,65.3,39.7
"186","1",37,"above average","new england","in a small city or town (under 50,000)","62.7","38.3","iap","both own mother and father",37,1,62.7,38.3
"187","2",65,"average","new england","in a small city or town (under 50,000)","43.4","25.7","iap","both own mother and father",65,2,43.4,25.7
"188","1",42,"average","new england","in a small city or town (under 50,000)","70.5","iap","none","both own mother and father",42,1,70.5,NA
"190","1",49,"average","pacific","in a suburb near a large city","38.3","25","four","both own mother and father",49,1,38.3,25
"193","0",64,"average","west north central","in a medium-size city (50,000-250,000)","45.4","28.6","none","both own mother and father",64,0,45.4,28.6
"196","3",56,"average","pacific","in a suburb near a large city","71.59999999999999","47.9","four","both own mother and father",56,3,71.6,47.9
"197","1",30,"above average","pacific","in a suburb near a large city","27","69.3","four","both own mother and father",30,1,27,69.3
"198","0",74,"average","middle atlantic","in a small city or town (under 50,000)","85.2","iap","four","both own mother and father",74,0,85.2,NA
"200","2",25,"above average","pacific","in a suburb near a large city","39.9","77.40000000000001","none","both own mother and father",25,2,39.9,77.4
"201","3",29,"above average","pacific","in a medium-size city (50,000-250,000)","59.1","iap","none","both own mother and father",29,3,59.1,NA
"203","2",29,"average","pacific","in a small city or town (under 50,000)","65.3","iap","none","both own mother and father",29,2,65.3,NA
"206","1",74,"below average","pacific","in a large city (over 250,000)","18.6","13.2","four","both own mother and father",74,1,18.6,13.2
"207","2",43,"far below average","pacific","in a medium-size city (50,000-250,000)","62","20.1","four","both own mother and father",43,2,62,20.1
"209","1",40,"above average","pacific","in a suburb near a large city","49.6","38.8","four","both own mother and father",40,1,49.6,38.8
"211","5",35,"below average","pacific","in a large city (over 250,000)","24","iap","four","both own mother and father",35,5,24,NA
"212","5",44,"average","foreign","in open country but not on a farm","59.1","iap","four","both own mother and father",44,5,59.1,NA
"215","7",36,"below average","pacific","in a large city (over 250,000)","34.7","30","none","both own mother and father",36,7,34.7,30
"216","8",48,"far below average","foreign","in a medium-size city (50,000-250,000)","42.2","iap","four","both own mother and father",48,8,42.2,NA
"217","3",61,"below average","foreign","in open country but not on a farm","39.9","iap","four","both own mother and father",61,3,39.9,NA
"222","7",31,"below average","pacific","in a small city or town (under 50,000)","54.6","iap","none","both own mother and father",31,7,54.6,NA
"223","9",62,"below average","foreign","in open country but not on a farm","24.8","iap","four","both own mother and father",62,9,24.8,NA
"225","3",39,"average","pacific","in a large city (over 250,000)","36.8","iap","three","both own mother and father",39,3,36.8,NA
"226","3",33,"far below average","pacific","in a suburb near a large city","52.1","32","four","both own mother and father",33,3,52.1,32
"227","1",43,"average","pacific","in a suburb near a large city","88.7","57.5","four","both own mother and father",43,1,88.7,57.5
"228","1",23,"average","pacific","in a suburb near a large city","43","20.8","four","both own mother and father",23,1,43,20.8
"231","4",24,"below average","pacific","in a large city (over 250,000)","32","iap","four","both own mother and father",24,4,32,NA
"232","0",23,"average","pacific","in a large city (over 250,000)","57.5","21.6","four","both own mother and father",23,0,57.5,21.6
"234","1",39,"above average","pacific","in a medium-size city (50,000-250,000)","43","52","none","both own mother and father",39,1,43,52
"235","8",56,"below average","foreign","in a small city or town (under 50,000)","14","iap","four","both own mother and father",56,8,14,NA
"237","3",56,"below average","foreign","in a large city (over 250,000)","69.3","iap","four","both own mother and father",56,3,69.3,NA
"238","2",41,"above average","foreign","in a medium-size city (50,000-250,000)","52.3","80.90000000000001","four","both own mother and father",41,2,52.3,80.9
"239","1",27,"average","pacific","in a large city (over 250,000)","31.2","38.8","four","both own mother and father",27,1,31.2,38.8
"241","7",59,"don't know","foreign","in a large city (over 250,000)","34.7","iap","four","both own mother and father",59,7,34.7,NA
"243","2",28,"far below average","pacific","in a medium-size city (50,000-250,000)","31.4","24.2","two","both own mother and father",28,2,31.4,24.2
"244","8",70,"below average","south atlantic","in a small city or town (under 50,000)","iap","iap","none","both own mother and father",70,8,NA,NA
"247","8",55,"below average","foreign","in a small city or town (under 50,000)","25.2","iap","four","both own mother and father",55,8,25.2,NA
"248","1",22,"average","pacific","in a large city (over 250,000)","31.2","62.9","four","both own mother and father",22,1,31.2,62.9
"249","8",51,"below average","foreign","in a large city (over 250,000)","39.7","13.2","four","both own mother and father",51,8,39.7,13.2
"250","1",21,"average","foreign","in a suburb near a large city","13.2","iap","four","both own mother and father",21,1,13.2,NA
"251","13",50,"below average","foreign","in a medium-size city (50,000-250,000)","50","iap","two","both own mother and father",50,13,50,NA
"252","9",60,"average","foreign","in a large city (over 250,000)","26.8","iap","four","both own mother and father",60,9,26.8,NA
"253","3",66,"average","pacific","in a medium-size city (50,000-250,000)","89.3","iap","two","both own mother and father",66,3,89.3,NA
"254","3",23,"far below average","pacific","in a large city (over 250,000)","28.7","iap","one","both own mother and father",23,3,28.7,NA
"255","9",64,"far below average","foreign","in a small city or town (under 50,000)","14","iap","four","both own mother and father",64,9,14,NA
"258","0",59,"average","pacific","in a medium-size city (50,000-250,000)","57.5","iap","none","both own mother and father",59,0,57.5,NA
"259","7",81,"below average","pacific","in a small city or town (under 50,000)","39.9","12.6","none","both own mother and father",81,7,39.9,12.6
"260","1",36,"average","pacific","in a suburb near a large city","iap","iap","none","both own mother and father",36,1,NA,NA
"261","1",29,"below average","foreign","farm","39.9","iap","four","both own mother and father",29,1,39.9,NA
"264","2",38,"above average","middle atlantic","in a suburb near a large city","62","82.5","none","both own mother and father",38,2,62,82.5
"267","2",37,"average","pacific","in a large city (over 250,000)","19.6","62","none","both own mother and father",37,2,19.6,62
"268","4",30,"average","pacific","in a large city (over 250,000)","91.90000000000001","86.8","one","both own mother and father",30,4,91.9,86.8
"269","2",19,"no answer","pacific","in a large city (over 250,000)","54.6","69.5","four","both own mother and father",19,2,54.6,69.5
"270","1",52,"above average","middle atlantic","in a large city (over 250,000)","85.8","80.90000000000001","none","both own mother and father",52,1,85.8,80.9
"271","3",69,"above average","pacific","in a large city (over 250,000)","92.09999999999999","iap","four","both own mother and father",69,3,92.1,NA
"272","1",66,"above average","east north central","in a suburb near a large city","67.7","43","one","both own mother and father",66,1,67.7,43
"273","1",45,"above average","east north central","in a medium-size city (50,000-250,000)","67.7","iap","one","both own mother and father",45,1,67.7,NA
"274","1",33,"average","south atlantic","in a medium-size city (50,000-250,000)","62","38.3","none","both own mother and father",33,1,62,38.3
"277","2",57,"far below average","west north central","farm","39.9","38.3","none","both own mother and father",57,2,39.9,38.3
"280","2",37,"below average","pacific","in a small city or town (under 50,000)","39.7","25","four","both own mother and father",37,2,39.7,25
"281","3",68,"average","pacific","in a medium-size city (50,000-250,000)","34.7","14","three","both own mother and father",68,3,34.7,14
"282","13",68,"below average","pacific","in a medium-size city (50,000-250,000)","18.6","13.6","four","both own mother and father",68,13,18.6,13.6
"283","3",35,"below average","pacific","in a small city or town (under 50,000)","25.2","iap","four","both own mother and father",35,3,25.2,NA
"284","2",41,"above average","foreign","in a small city or town (under 50,000)","61.4","54.6","four","both own mother and father",41,2,61.4,54.6
"286","3",53,"average","pacific","in a medium-size city (50,000-250,000)","32","25","four","both own mother and father",53,3,32,25
"287","2",63,"average","east north central","in a small city or town (under 50,000)","65.3","13.6","none","both own mother and father",63,2,65.3,13.6
"290","2",44,"above average","mountain","in a large city (over 250,000)","43","38.3","none","both own mother and father",44,2,43,38.3
"291","2",26,"above average","pacific","in a medium-size city (50,000-250,000)","87.90000000000001","iap","none","both own mother and father",26,2,87.9,NA
"292","3",67,"below average","pacific","in a large city (over 250,000)","13.6","26.5","four","both own mother and father",67,3,13.6,26.5
"294","1",32,"above average","pacific","in a suburb near a large city","81.5","iap","four","both own mother and father",32,1,81.5,NA
"295","1",39,"average","pacific","in a suburb near a large city","43","iap","four","both own mother and father",39,1,43,NA
"296","2",61,"far below average","foreign","in a medium-size city (50,000-250,000)","58.4","12.6","four","both own mother and father",61,2,58.4,12.6
"297","5",55,"far below average","foreign","in a small city or town (under 50,000)","32.6","84.2","four","both own mother and father",55,5,32.6,84.2
"298","1",65,"average","pacific","in a suburb near a large city","84","62.9","don't know","both own mother and father",65,1,84,62.9
"299","5",61,"above average","pacific","in a suburb near a large city","iap","iap","none","both own mother and father",61,5,NA,NA
"300","2",28,"above average","mountain","in a medium-size city (50,000-250,000)","65.3","26.1","none","both own mother and father",28,2,65.3,26.1
"301","7",60,"above average","pacific","in a medium-size city (50,000-250,000)","89.3","80.90000000000001","two","both own mother and father",60,7,89.3,80.9
"302","4",63,"below average","pacific","in a suburb near a large city","28.3","iap","three","both own mother and father",63,4,28.3,NA
"303","3",78,"average","west north central","in a large city (over 250,000)","38.3","39.7","one","both own mother and father",78,3,38.3,39.7
"304","2",23,"far below average","pacific","in a medium-size city (50,000-250,000)","55.3","iap","four","both own mother and father",23,2,55.3,NA
"305","2",60,"average","pacific","in a medium-size city (50,000-250,000)","43","68.59999999999999","two","both own mother and father",60,2,43,68.6
"306","2",26,"below average","pacific","in a medium-size city (50,000-250,000)","25.2","39.7","none","both own mother and father",26,2,25.2,39.7
"307","4",54,"average","foreign","in open country but not on a farm","14","iap","iap","both own mother and father",54,4,14,NA
"309","2",65,"average","pacific","in a suburb near a large city","25.2","iap","none","both own mother and father",65,2,25.2,NA
"311","6",68,"above average","pacific","in a large city (over 250,000)","31.6","67.7","three","both own mother and father",68,6,31.6,67.7
"312","14",66,"above average","foreign","in a medium-size city (50,000-250,000)","25.2","38.8","four","both own mother and father",66,14,25.2,38.8
"313","2",75,"below average","pacific","in a large city (over 250,000)","46.5","20.7","none","both own mother and father",75,2,46.5,20.7
"318","2",73,"average","pacific","in a medium-size city (50,000-250,000)","76.3","52","two","both own mother and father",73,2,76.3,52
"320","2",33,"far below average","pacific","in a medium-size city (50,000-250,000)","iap","iap","four","both own mother and father",33,2,NA,NA
"321","1",23,"average","pacific","in a small city or town (under 50,000)","86.8","76.3","four","both own mother and father",23,1,86.8,76.3
"322","1",54,"average","pacific","in a small city or town (under 50,000)","37.6","68","none","both own mother and father",54,1,37.6,68
"325","2",30,"average","pacific","in a suburb near a large city","25.7","52","two","both own mother and father",30,2,25.7,52
"326","1",52,"above average","pacific","in a medium-size city (50,000-250,000)","46","38.8","none","both own mother and father",52,1,46,38.8
"328","1",47,"far above average","pacific","in a suburb near a large city","23.3","26.8","iap","both own mother and father",47,1,23.3,26.8
"329","3",54,"far below average","pacific","in a medium-size city (50,000-250,000)","28.7","12.6","none","both own mother and father",54,3,28.7,12.6
"330","3",33,"below average","pacific","in a large city (over 250,000)","84.2","86.8","four","both own mother and father",33,3,84.2,86.8
"331","3",20,"average","pacific","in a large city (over 250,000)","23.3","23.3","four","both own mother and father",20,3,23.3,23.3
"332","4",48,"far below average","foreign","in a small city or town (under 50,000)","31.6","iap","four","both own mother and father",48,4,31.6,NA
"334","4",35,"average","pacific","in a medium-size city (50,000-250,000)","28.5","23.8","two","both own mother and father",35,4,28.5,23.8
"337","2",39,"average","east north central","in a medium-size city (50,000-250,000)","32","39.7","none","both own mother and father",39,2,32,39.7
"338","3",31,"far below average","pacific","in a large city (over 250,000)","18.6","12.6","four","both own mother and father",31,3,18.6,12.6
"339","6",37,"far below average","pacific","in a medium-size city (50,000-250,000)","24","iap","four","both own mother and father",37,6,24,NA
"340","4",30,"far below average","pacific","in a small city or town (under 50,000)","18.6","iap","four","both own mother and father",30,4,18.6,NA
"341","1",24,"average","pacific","in a medium-size city (50,000-250,000)","27.7","iap","four","both own mother and father",24,1,27.7,NA
"344","3",66,"below average","east north central","in a medium-size city (50,000-250,000)","67.7","80.90000000000001","none","both own mother and father",66,3,67.7,80.9
"347","2",74,"far below average","foreign","in a suburb near a large city","28.7","26.8","four","both own mother and father",74,2,28.7,26.8
"348","2",47,"average","pacific","in a medium-size city (50,000-250,000)","20.7","13.2","four","both own mother and father",47,2,20.7,13.2
"350","4",57,"far above average","pacific","in a suburb near a large city","39.9","14","three","both own mother and father",57,4,39.9,14
"352","5",56,"above average","east north central","in a medium-size city (50,000-250,000)","33.7","46.6","iap","both own mother and father",56,5,33.7,46.6
"353","1",73,"average","east north central","in a small city or town (under 50,000)","32","41.1","none","both own mother and father",73,1,32,41.1
"354","3",63,"average","east north central","in a large city (over 250,000)","42.8","14.8","one","both own mother and father",63,3,42.8,14.8
"355","1",66,"average","east north central","in open country but not on a farm","35.8","iap","don't know","both own mother and father",66,1,35.8,NA
"356","3",42,"below average","east north central","in a small city or town (under 50,000)","43","26.1","none","both own mother and father",42,3,43,26.1
"357","3",74,"far below average","east north central","in a large city (over 250,000)","77.40000000000001","iap","two","both own mother and father",74,3,77.4,NA
"358","3",62,"average","east north central","in a suburb near a large city","48.3","iap","four","both own mother and father",62,3,48.3,NA
"359","2",57,"above average","east north central","in a small city or town (under 50,000)","67.7","62.9","none","both own mother and father",57,2,67.7,62.9
"360","1",79,"above average","east north central","in a suburb near a large city","92","iap","four","both own mother and father",79,1,92,NA
"361","3",39,"average","east north central","in a suburb near a large city","34.1","52.5","none","both own mother and father",39,3,34.1,52.5
"362","4",62,"below average","east north central","in a large city (over 250,000)","42.2","31.9","four","both own mother and father",62,4,42.2,31.9
"364","9",70,"below average","west south central","farm","39.9","25","none","both own mother and father",70,9,39.9,25
"366","3",57,"below average","east north central","in a large city (over 250,000)","20.5","iap","iap","both own mother and father",57,3,20.5,NA
"368","2",62,"above average","east north central","in a large city (over 250,000)","86.09999999999999","67.7","iap","both own mother and father",62,2,86.1,67.7
