"","sibs","age","incom16","reg16","res16","pasei10","masei10","granborn","family16","age_num","sibs_num","pasei10_num","masei10_num"
"24","8","60","average","middle atlantic","in a medium-size city (50,000-250,000)","65.09999999999999","24.2","none","both own mother and father",60,8,65.1,24.2
"25","5","28","above average","middle atlantic","in a small city or town (under 50,000)","65.3","iap","none","mother and stepfather",28,5,65.3,NA
"26","0","82","average","middle atlantic","in a suburb near a large city","23.3","38.8","two","both own mother and father",82,0,23.3,38.8
"27","2","59","average","middle atlantic","in a large city (over 250,000)","iap","65.3","none","mother only",59,2,NA,65.3
"28","1","86","average","foreign","in a medium-size city (50,000-250,000)","42.2","iap","four","both own mother and father",86,1,42.2,NA
"29","4","36","below average","middle atlantic","in a large city (over 250,000)","20.7","13.6","none","both own mother and father",36,4,20.7,13.6
"30","3","79","below average","middle atlantic","in a small city or town (under 50,000)","64.2","80.90000000000001","none","both own mother and father",79,3,64.2,80.9
"31","6","65","average","mountain","in a suburb near a large city","67.7","35.8","none","both own mother and father",65,6,67.7,35.8
"32","4","no answer","skipped on web","middle atlantic","in a medium-size city (50,000-250,000)","iap","iap","none","both own mother and father",NA,4,NA,NA
"33","0","76","above average","middle atlantic","in a small city or town (under 50,000)","28.7","19.6","one","some other male relative (no female head)",76,0,28.7,19.6
"34","1","72","average","new england","in a medium-size city (50,000-250,000)","43","38.3","four","both own mother and father",72,1,43,38.3
"35","0","62","above average","middle atlantic","in a suburb near a large city","66.2","35.1","two","both own mother and father",62,0,66.2,35.1
"36","1","46","below average","middle atlantic","in a medium-size city (50,000-250,000)","48.8","20.1","one","both own mother and father",46,1,48.8,20.1
"37","3","84","below average","middle atlantic","in a medium-size city (50,000-250,000)","32","20.7","four","both own mother and father",84,3,32,20.7
"38","skipped on web","79","below average","middle atlantic","in a medium-size city (50,000-250,000)","46.5","iap","four","both own mother and father",79,NA,46.5,NA
"39","1","38","far above average","middle atlantic","in a suburb near a large city","38.3","38.8","two","both own mother and father",38,1,38.3,38.8
"40","1","64","below average","middle atlantic","in a medium-size city (50,000-250,000)","iap","68.59999999999999","one","mother only",64,1,NA,68.6
"41","4","49","far below average","middle atlantic","in a suburb near a large city","iap","38.8","two","mother only",49,4,NA,38.8
"42","6","65","below average","middle atlantic","in a suburb near a large city","iap","38.3","iap","both own mother and father",65,6,NA,38.3
"43","4","29","average","east north central","in a suburb near a large city","92","iap","four","both own mother and father",29,4,92,NA
"44","0","30","average","middle atlantic","in a small city or town (under 50,000)","62","80.90000000000001","none","both own mother and father",30,0,62,80.9
"45","0","30","average","middle atlantic","in a suburb near a large city","31.2","12.6","four","both own mother and father",30,0,31.2,12.6
"46","5","50","below average","middle atlantic","in a large city (over 250,000)","33.2","84.2","none","mother and stepfather",50,5,33.2,84.2
"47","4","32","below average","middle atlantic","in a suburb near a large city","iap","41.8","none","mother only",32,4,NA,41.8
"48","1","52","above average","middle atlantic","in a suburb near a large city","67.7","77.2","three","both own mother and father",52,1,67.7,77.2
"49","0","89","average","foreign","in a suburb near a large city","68.59999999999999","iap","don't know","both own mother and father",NA,0,68.6,NA
"50","1","70","average","new england","in a suburb near a large city","45.4","39.7","four","both own mother and father",70,1,45.4,39.7
"51","2","59","above average","new england","in a small city or town (under 50,000)","83.8","62.9","none","both own mother and father",59,2,83.8,62.9
"52","2","46","above average","foreign","in a large city (over 250,000)","77.40000000000001","67.7","one","both own mother and father",46,2,77.4,67.7
"53","1","43","far above average","mountain","in a suburb near a large city","85.2","76.3","four","both own mother and father",43,1,85.2,76.3
"54","33","60","average","middle atlantic","in a small city or town (under 50,000)","76.3","iap","four","both own mother and father",60,33,76.3,NA
"55","2","38","average","foreign","in a large city (over 250,000)","iap","52","four","mother only",38,2,NA,52
"56","7","66","average","new england","in a large city (over 250,000)","21.5","19.6","one","both own mother and father",66,7,21.5,19.6
"57","8","28","far above average","middle atlantic","in a large city (over 250,000)","iap","iap","two","father and stepmother",28,8,NA,NA
"58","4","20","above average","middle atlantic","in a large city (over 250,000)","iap","24.2","four","mother only",20,4,NA,24.2
"59","5","62","above average","foreign","in a small city or town (under 50,000)","77.40000000000001","iap","four","both own mother and father",62,5,77.4,NA
"60","1","36","don't know","middle atlantic","in a large city (over 250,000)","iap","20.1","four","both own mother and father",36,1,NA,20.1
"61","1","49","average","middle atlantic","in a suburb near a large city","25.2","45.1","four","both own mother and father",49,1,25.2,45.1
"62","4","30","below average","middle atlantic","in a medium-size city (50,000-250,000)","43","43","none","mother and stepfather",30,4,43,43
"63","9","62","below average","foreign","in open country but not on a farm","14","iap","four","both own mother and father",62,9,14,NA
"64","9","70","below average","foreign","in open country but not on a farm","14","iap","four","both own mother and father",70,9,14,NA
"65","12","73","below average","foreign","in open country but not on a farm","iap","13.6","four","mother only",73,12,NA,13.6
"66","4","34","average","middle atlantic","in a large city (over 250,000)","24.2","iap","none","both own mother and father",34,4,24.2,NA
"67","3","47","below average","middle atlantic","in a large city (over 250,000)","43","12.6","iap","other arrangement with relatives (e.g., aunt and uncle, grandparents)",47,3,43,12.6
"68","13","47","below average","foreign","in a small city or town (under 50,000)","49.6","iap","four","both own mother and father",47,13,49.6,NA
"69","3","58","average","middle atlantic","in a suburb near a large city","iap","32.6","iap","mother only",58,3,NA,32.6
"70","8","82","average","foreign","in a small city or town (under 50,000)","39.9","iap","four","both own mother and father",82,8,39.9,NA
"71","13","67","below average","middle atlantic","in a large city (over 250,000)","31.3","12.6","none","both own mother and father",67,13,31.3,12.6
"72","2","41","below average","middle atlantic","in a large city (over 250,000)","28.5","13.6","don't know","mother and stepfather",41,2,28.5,13.6
"73","5","32","don't know","middle atlantic","in a large city (over 250,000)","iap","60.3","iap","mother only",32,5,NA,60.3
"74","12","65","far below average","foreign","in a medium-size city (50,000-250,000)","39.9","iap","four","both own mother and father",65,12,39.9,NA
"75","2","57","average","middle atlantic","in a large city (over 250,000)","iap","52","four","mother only",57,2,NA,52
"76","36","55","average","foreign","in a small city or town (under 50,000)","39.9","iap","four","both own mother and father",55,36,39.9,NA
"77","4","86","far above average","middle atlantic","in a large city (over 250,000)","iap","iap","iap","both own mother and father",86,4,NA,NA
"78","3","31","average","middle atlantic","in a large city (over 250,000)","iap","iap","four","both own mother and father",31,3,NA,NA
"79","1","62","below average","middle atlantic","in a large city (over 250,000)","35.8","80.90000000000001","four","both own mother and father",62,1,35.8,80.9
"80","6","23","below average","foreign","in a large city (over 250,000)","26.8","20.1","four","both own mother and father",23,6,26.8,20.1
"81","8","no answer","average","foreign","in a medium-size city (50,000-250,000)","67.7","iap","no answer","both own mother and father",NA,8,67.7,NA
"82","4","22","far below average","south atlantic","in a suburb near a large city","iap","39.7","none","mother only",22,4,NA,39.7
"83","3","44","below average","south atlantic","in a medium-size city (50,000-250,000)","iap","76.3","none","mother only",44,3,NA,76.3
"84","2","24","far below average","middle atlantic","in a large city (over 250,000)","iap","84.2","four","both own mother and father",24,2,NA,84.2
"85","3","37","average","middle atlantic","in a large city (over 250,000)","iap","38.8","four","mother only",37,3,NA,38.8
"86","3","79","average","new england","in a small city or town (under 50,000)","50.4","iap","two","both own mother and father",79,3,50.4,NA
"87","3","22","below average","middle atlantic","in a large city (over 250,000)","45.4","28.7","four","both own mother and father",22,3,45.4,28.7
"88","1","34","above average","pacific","in a large city (over 250,000)","67.7","52.6","three","both own mother and father",34,1,67.7,52.6
"89","1","26","below average","south atlantic","in a medium-size city (50,000-250,000)","iap","20.8","none","mother only",26,1,NA,20.8
"90","2","29","above average","new england","in a medium-size city (50,000-250,000)","67.7","iap","two","both own mother and father",29,2,67.7,NA
"91","3","36","average","new england","in a small city or town (under 50,000)","53","iap","none","both own mother and father",36,3,53,NA
"92","3","29","average","west south central","in a suburb near a large city","53.2","71.8","three","both own mother and father",29,3,53.2,71.8
"93","4","47","far below average","middle atlantic","in a large city (over 250,000)","50.4","27","none","both own mother and father",47,4,50.4,27
"94","7","58","far above average","middle atlantic","in a large city (over 250,000)","19.7","84.2","two","other arrangement with relatives (e.g., aunt and uncle, grandparents)",58,7,19.7,84.2
"95","2","46","above average","south atlantic","in a medium-size city (50,000-250,000)","iap","iap","two","mother only",46,2,NA,NA
"96","1","29","above average","pacific","in a large city (over 250,000)","76.3","91.09999999999999","four","both own mother and father",29,1,76.3,91.1
"97","2","46","average","middle atlantic","in a large city (over 250,000)","41","25.7","four","both own mother and father",46,2,41,25.7
"98","6","71","average","foreign","in a medium-size city (50,000-250,000)","35.8","20.7","four","both own mother and father",71,6,35.8,20.7
"99","1","28","average","middle atlantic","in a medium-size city (50,000-250,000)","26.5","20.1","four","both own mother and father",28,1,26.5,20.1
"100","4","38","average","middle atlantic","in a large city (over 250,000)","43","84.2","four","both own mother and father",38,4,43,84.2
"101","7","25","below average","middle atlantic","in a large city (over 250,000)","39.6","iap","four","father only",25,7,39.6,NA
"102","3","34","average","middle atlantic","in a large city (over 250,000)","24.1","38.8","don't know","both own mother and father",34,3,24.1,38.8
"103","5","26","below average","middle atlantic","in a large city (over 250,000)","iap","12.6","four","mother only",26,5,NA,12.6
"104","1","63","average","middle atlantic","in a large city (over 250,000)","51.5","39.7","none","both own mother and father",63,1,51.5,39.7
"105","0","82","average","middle atlantic","in a large city (over 250,000)","24","84.2","four","both own mother and father",82,0,24,84.2
"106","2","47","above average","middle atlantic","in a suburb near a large city","38.8","21.8","three","both own mother and father",47,2,38.8,21.8
"107","1","40","average","middle atlantic","in a small city or town (under 50,000)","71.8","84.2","none","both own mother and father",40,1,71.8,84.2
"108","9","71","below average","foreign","in a suburb near a large city","39.9","26.5","four","both own mother and father",71,9,39.9,26.5
"109","2","63","above average","middle atlantic","in a suburb near a large city","86.5","iap","two","both own mother and father",63,2,86.5,NA
"110","5","89","average","middle atlantic","in a suburb near a large city","65.09999999999999","iap","none","both own mother and father",NA,5,65.1,NA
"111","3","61","average","middle atlantic","in a small city or town (under 50,000)","50.4","38.8","none","both own mother and father",61,3,50.4,38.8
"112","4","52","far below average","middle atlantic","in a suburb near a large city","34.6","38.3","four","both own mother and father",52,4,34.6,38.3
"113","6","48","average","middle atlantic","in a suburb near a large city","43","21.8","none","both own mother and father",48,6,43,21.8
"114","1","40","above average","middle atlantic","in a medium-size city (50,000-250,000)","37.6","57.8","two","both own mother and father",40,1,37.6,57.8
"115","5","no answer","no answer","foreign","in a large city (over 250,000)","61.4","39.7","four","both own mother and father",NA,5,61.4,39.7
"116","11","44","below average","foreign","in a suburb near a large city","18.6","iap","four","both own mother and father",44,11,18.6,NA
"117","10","42","below average","foreign","in open country but not on a farm","14","iap","four","both own mother and father",42,10,14,NA
"118","2","46","average","middle atlantic","in a small city or town (under 50,000)","65.3","38.8","none","both own mother and father",46,2,65.3,38.8
"119","4","70","don't know","middle atlantic","in a large city (over 250,000)","54.6","iap","none","other arrangement with relatives (e.g., aunt and uncle, grandparents)",70,4,54.6,NA
"120","2","20","below average","middle atlantic","in a small city or town (under 50,000)","34.7","41.1","four","mother and stepfather",20,2,34.7,41.1
"121","10","36","above average","middle atlantic","in a suburb near a large city","25.2","76.3","none","both own mother and father",36,10,25.2,76.3
"122","2","82","below average","middle atlantic","in a suburb near a large city","26.9","35.8","don't know","both own mother and father",82,2,26.9,35.8
"123","4","65","average","middle atlantic","in a suburb near a large city","67.7","12.6","four","both own mother and father",65,4,67.7,12.6
"124","11","64","below average","foreign","in a small city or town (under 50,000)","iap","iap","four","mother only",64,11,NA,NA
"125","4","69","below average","foreign","in a small city or town (under 50,000)","iap","26.8","four","both own mother and father",69,4,NA,26.8
"126","2","no answer","far below average","foreign","in open country but not on a farm","80.90000000000001","iap","four","both own mother and father",NA,2,80.9,NA
"127","0","65","far below average","middle atlantic","in a large city (over 250,000)","iap","iap","four","mother only",65,0,NA,NA
"128","7","52","far below average","foreign","in a small city or town (under 50,000)","39.9","iap","four","father and stepmother",52,7,39.9,NA
"129","2","61","don't know","foreign","in a small city or town (under 50,000)","50.3","13.2","four","both own mother and father",61,2,50.3,13.2
"130","1","31","average","middle atlantic","in a medium-size city (50,000-250,000)","iap","87.3","two","mother only",31,1,NA,87.3
"131","2","40","far below average","middle atlantic","in a large city (over 250,000)","iap","20.1","four","some other female relative (no male head)",40,2,NA,20.1
"132","3","43","average","foreign","in a large city (over 250,000)","85.2","50","four","both own mother and father",43,3,85.2,50
"133","3","26","far below average","middle atlantic","in a large city (over 250,000)","iap","24.2","none","mother only",26,3,NA,24.2
"134","0","80","far above average","middle atlantic","in a large city (over 250,000)","57.8","iap","one","both own mother and father",80,0,57.8,NA
"135","1","34","average","foreign","in a small city or town (under 50,000)","25.2","37.2","four","other arrangement with relatives (e.g., aunt and uncle, grandparents)",34,1,25.2,37.2
"136","0","26","average","foreign","don't know","iap","iap","four","some other female relative (no male head)",26,0,NA,NA
"137","6","56","average","middle atlantic","in a large city (over 250,000)","76.3","33.2","four","both own mother and father",56,6,76.3,33.2
"138","32","32","average","middle atlantic","don't know","iap","84.2","iap","mother only",32,32,NA,84.2
"139","3","23","far above average","west south central","in a large city (over 250,000)","92.8","59.1","none","both own mother and father",23,3,92.8,59.1
"140","3","34","far below average","middle atlantic","in a large city (over 250,000)","19.6","21.6","four","both own mother and father",34,3,19.6,21.6
"141","2","no answer","above average","foreign","in a large city (over 250,000)","68.59999999999999","iap","don't know","both own mother and father",NA,2,68.6,NA
"142","9","79","don't know","foreign","in a suburb near a large city","23.3","iap","four","both own mother and father",79,9,23.3,NA
"143","1","36","average","middle atlantic","in a large city (over 250,000)","52.4","50.7","four","both own mother and father",36,1,52.4,50.7
"144","1","no answer","average","middle atlantic","in a large city (over 250,000)","46.5","13.2","none","both own mother and father",NA,1,46.5,13.2
"145","4","69","average","middle atlantic","in a large city (over 250,000)","28.7","24.2","four","both own mother and father",69,4,28.7,24.2
"146","7","56","average","foreign","in a small city or town (under 50,000)","24.6","12.6","four","both own mother and father",56,7,24.6,12.6
"147","1","no answer","average","middle atlantic","in a large city (over 250,000)","92","iap","four","both own mother and father",NA,1,92,NA
"148","7","36","average","middle atlantic","in a suburb near a large city","45.4","56.9","four","both own mother and father",36,7,45.4,56.9
"149","4","no answer","below average","middle atlantic","in a medium-size city (50,000-250,000)","iap","39.7","one","mother only",NA,4,NA,39.7
"150","1","29","above average","middle atlantic","in a large city (over 250,000)","76.3","38.3","four","both own mother and father",29,1,76.3,38.3
"151","2","44","below average","middle atlantic","in a large city (over 250,000)","25","iap","don't know","both own mother and father",44,2,25,NA
"152","2","37","below average","middle atlantic","in a large city (over 250,000)","iap","iap","none","both own mother and father",37,2,NA,NA
"153","1","70","average","middle atlantic","in a large city (over 250,000)","76.3","35.1","four","both own mother and father",70,1,76.3,35.1
"154","1","no answer","skipped on web","middle atlantic","in a medium-size city (50,000-250,000)","25.2","12.6","four","both own mother and father",NA,1,25.2,12.6
"155","2","62","average","middle atlantic","in a large city (over 250,000)","iap","19.6","two","mother only",62,2,NA,19.6
"156","2","24","average","middle atlantic","in a small city or town (under 50,000)","iap","82.5","two","mother only",24,2,NA,82.5
"157","7","83","average","foreign","in a large city (over 250,000)","86.09999999999999","iap","four","both own mother and father",83,7,86.1,NA
"158","1","71","below average","middle atlantic","in a large city (over 250,000)","23.7","iap","two","both own mother and father",71,1,23.7,NA
"159","2","68","below average","middle atlantic","in a large city (over 250,000)","39.7","iap","three","both own mother and father",68,2,39.7,NA
"160","4","no answer","average","middle atlantic","in a large city (over 250,000)","32","25.7","three","both own mother and father",NA,4,32,25.7
"161","6","74","below average","foreign","in a large city (over 250,000)","59.9","iap","four","both own mother and father",74,6,59.9,NA
"162","no answer","46","don't know","foreign","in open country but not on a farm","iap","iap","four","both own mother and father",46,NA,NA,NA
"163","6","48","average","middle atlantic","in a large city (over 250,000)","43","iap","four","both own mother and father",48,6,43,NA
"164","2","55","average","middle atlantic","in a suburb near a large city","80.90000000000001","80.90000000000001","three","both own mother and father",55,2,80.9,80.9
"165","1","46","average","middle atlantic","in a suburb near a large city","24.1","38.8","none","both own mother and father",46,1,24.1,38.8
"166","2","40","below average","middle atlantic","in a suburb near a large city","25","62","none","both own mother and father",40,2,25,62
"167","3","63","above average","middle atlantic","in a suburb near a large city","72.5","38.8","none","both own mother and father",63,3,72.5,38.8
"168","3","65","below average","middle atlantic","in a suburb near a large city","36.2","26.1","two","both own mother and father",65,3,36.2,26.1
"169","5","31","below average","middle atlantic","in a suburb near a large city","iap","12.6","four","father and stepmother",31,5,NA,12.6
"170","1","39","average","middle atlantic","in a suburb near a large city","28.7","38.8","none","mother and stepfather",39,1,28.7,38.8
"171","2","51","below average","middle atlantic","in a small city or town (under 50,000)","iap","84.2","none","mother only",51,2,NA,84.2
"172","2","34","average","middle atlantic","in a suburb near a large city","62","26.1","none","both own mother and father",34,2,62,26.1
"173","2","29","average","middle atlantic","in a suburb near a large city","81.5","84.2","none","both own mother and father",29,2,81.5,84.2
"174","2","87","below average","middle atlantic","in a large city (over 250,000)","39.7","iap","don't know","both own mother and father",87,2,39.7,NA
"175","1","41","average","middle atlantic","in a suburb near a large city","62.9","80.90000000000001","four","both own mother and father",41,1,62.9,80.9
"176","2","39","far below average","middle atlantic","in a medium-size city (50,000-250,000)","27.2","21.8","four","both own mother and father",39,2,27.2,21.8
"177","2","63","above average","middle atlantic","in a medium-size city (50,000-250,000)","59.8","65.3","none","both own mother and father",63,2,59.8,65.3
"178","1","41","average","middle atlantic","in a medium-size city (50,000-250,000)","23.3","25.7","iap","both own mother and father",41,1,23.3,25.7
"179","1","68","below average","middle atlantic","in a suburb near a large city","48.4","iap","four","father only",68,1,48.4,NA
"180","1","74","average","middle atlantic","in a medium-size city (50,000-250,000)","25.2","iap","four","both own mother and father",74,1,25.2,NA
"181","4","50","average","middle atlantic","in a suburb near a large city","iap","iap","three","mother only",50,4,NA,NA
"182","3","53","below average","middle atlantic","in a medium-size city (50,000-250,000)","32","59.8","none","both own mother and father",53,3,32,59.8
"183","3","34","average","middle atlantic","farm","28.7","12.6","four","mother and stepfather",34,3,28.7,12.6
"184","5","62","average","south atlantic","in open country but not on a farm","20.3","iap","none","both own mother and father",62,5,20.3,NA
"185","3","54","average","foreign","in open country but not on a farm","65.3","39.7","four","both own mother and father",54,3,65.3,39.7
"186","1","37","above average","new england","in a small city or town (under 50,000)","62.7","38.3","iap","both own mother and father",37,1,62.7,38.3
"187","2","65","average","new england","in a small city or town (under 50,000)","43.4","25.7","iap","both own mother and father",65,2,43.4,25.7
"188","1","42","average","new england","in a small city or town (under 50,000)","70.5","iap","none","both own mother and father",42,1,70.5,NA
"189","1","47","average","new england","in a medium-size city (50,000-250,000)","iap","43.8","none","some other female relative (no male head)",47,1,NA,43.8
"190","1","49","average","pacific","in a suburb near a large city","38.3","25","four","both own mother and father",49,1,38.3,25
"191","1","no answer","below average","east north central","in a suburb near a large city","46.5","28.7","four","both own mother and father",NA,1,46.5,28.7
"192","4","no answer","below average","pacific","in a large city (over 250,000)","39.2","19.6","four","both own mother and father",NA,4,39.2,19.6
"193","0","64","average","west north central","in a medium-size city (50,000-250,000)","45.4","28.6","none","both own mother and father",64,0,45.4,28.6
"194","5","60","far above average","pacific","in a small city or town (under 50,000)","iap","iap","four","father and stepmother",60,5,NA,NA
"195","7","45","above average","pacific","in a suburb near a large city","iap","44.9","four","mother only",45,7,NA,44.9
"196","3","56","average","pacific","in a suburb near a large city","71.59999999999999","47.9","four","both own mother and father",56,3,71.6,47.9
"197","1","30","above average","pacific","in a suburb near a large city","27","69.3","four","both own mother and father",30,1,27,69.3
"198","0","74","average","middle atlantic","in a small city or town (under 50,000)","85.2","iap","four","both own mother and father",74,0,85.2,NA
"199","4","no answer","average","pacific","in a large city (over 250,000)","iap","iap","none","mother only",NA,4,NA,NA
"200","2","25","above average","pacific","in a suburb near a large city","39.9","77.40000000000001","none","both own mother and father",25,2,39.9,77.4
"201","3","29","above average","pacific","in a medium-size city (50,000-250,000)","59.1","iap","none","both own mother and father",29,3,59.1,NA
"202","0","29","below average","pacific","in a suburb near a large city","iap","iap","one","some other female relative (no male head)",29,0,NA,NA
"203","2","29","average","pacific","in a small city or town (under 50,000)","65.3","iap","none","both own mother and father",29,2,65.3,NA
"204","1","53","below average","middle atlantic","in a suburb near a large city","iap","61.4","none","mother only",53,1,NA,61.4
"205","2","72","below average","pacific","in a large city (over 250,000)","37.1","19.6","two","mother only",72,2,37.1,19.6
"206","1","74","below average","pacific","in a large city (over 250,000)","18.6","13.2","four","both own mother and father",74,1,18.6,13.2
"207","2","43","far below average","pacific","in a medium-size city (50,000-250,000)","62","20.1","four","both own mother and father",43,2,62,20.1
"208","9","36","far below average","pacific","in a medium-size city (50,000-250,000)","iap","62","two","mother only",36,9,NA,62
"209","1","40","above average","pacific","in a suburb near a large city","49.6","38.8","four","both own mother and father",40,1,49.6,38.8
"210","9","60","average","pacific","in a suburb near a large city","39.7","41.1","four","father and stepmother",60,9,39.7,41.1
"211","5","35","below average","pacific","in a large city (over 250,000)","24","iap","four","both own mother and father",35,5,24,NA
"212","5","44","average","foreign","in open country but not on a farm","59.1","iap","four","both own mother and father",44,5,59.1,NA
"213","7","66","far below average","foreign","in a large city (over 250,000)","80.90000000000001","80.90000000000001","four","other arrangement with relatives (e.g., aunt and uncle, grandparents)",66,7,80.9,80.9
"214","9","32","below average","pacific","in a medium-size city (50,000-250,000)","iap","12.6","four","mother only",32,9,NA,12.6
"215","7","36","below average","pacific","in a large city (over 250,000)","34.7","30","none","both own mother and father",36,7,34.7,30
"216","8","48","far below average","foreign","in a medium-size city (50,000-250,000)","42.2","iap","four","both own mother and father",48,8,42.2,NA
"217","3","61","below average","foreign","in open country but not on a farm","39.9","iap","four","both own mother and father",61,3,39.9,NA
"218","2","47","far above average","south atlantic","farm","14","iap","four","some other male relative (no female head)",47,2,14,NA
"219","1","44","no answer","pacific","in a large city (over 250,000)","iap","69.3","none","mother only",44,1,NA,69.3
"220","4","57","above average","pacific","in a suburb near a large city","68.59999999999999","57.5","none","mother and stepfather",57,4,68.6,57.5
"221","5","75","average","west north central","in a medium-size city (50,000-250,000)","iap","61.4","none","mother only",75,5,NA,61.4
"222","7","31","below average","pacific","in a small city or town (under 50,000)","54.6","iap","none","both own mother and father",31,7,54.6,NA
"223","9","62","below average","foreign","in open country but not on a farm","24.8","iap","four","both own mother and father",62,9,24.8,NA
"224","7","50","above average","pacific","in a medium-size city (50,000-250,000)","iap","20.1","iap","mother only",50,7,NA,20.1
"225","3","39","average","pacific","in a large city (over 250,000)","36.8","iap","three","both own mother and father",39,3,36.8,NA
"226","3","33","far below average","pacific","in a suburb near a large city","52.1","32","four","both own mother and father",33,3,52.1,32
"227","1","43","average","pacific","in a suburb near a large city","88.7","57.5","four","both own mother and father",43,1,88.7,57.5
"228","1","23","average","pacific","in a suburb near a large city","43","20.8","four","both own mother and father",23,1,43,20.8
"229","7","31","average","pacific","in a suburb near a large city","25.2","iap","four","mother and stepfather",31,7,25.2,NA
"230","5","33","far below average","pacific","in a medium-size city (50,000-250,000)","iap","iap","don't know","mother only",33,5,NA,NA
"231","4","24","below average","pacific","in a large city (over 250,000)","32","iap","four","both own mother and father",24,4,32,NA
"232","0","23","average","pacific","in a large city (over 250,000)","57.5","21.6","four","both own mother and father",23,0,57.5,21.6
"233","4","58","average","west south central","farm","iap","15.8","none","mother only",58,4,NA,15.8
"234","1","39","above average","pacific","in a medium-size city (50,000-250,000)","43","52","none","both own mother and father",39,1,43,52
"235","8","56","below average","foreign","in a small city or town (under 50,000)","14","iap","four","both own mother and father",56,8,14,NA
"236","2","71","above average","south atlantic","in a suburb near a large city","iap","38.8","none","mother only",71,2,NA,38.8
"237","3","56","below average","foreign","in a large city (over 250,000)","69.3","iap","four","both own mother and father",56,3,69.3,NA
"238","2","41","above average","foreign","in a medium-size city (50,000-250,000)","52.3","80.90000000000001","four","both own mother and father",41,2,52.3,80.9
"239","1","27","average","pacific","in a large city (over 250,000)","31.2","38.8","four","both own mother and father",27,1,31.2,38.8
"240","2","36","below average","pacific","in a small city or town (under 50,000)","79.40000000000001","iap","four","father only",36,2,79.4,NA
"241","7","59","don't know","foreign","in a large city (over 250,000)","34.7","iap","four","both own mother and father",59,7,34.7,NA
"242","5","25","below average","pacific","in a large city (over 250,000)","iap","iap","none","other",25,5,NA,NA
"243","2","28","far below average","pacific","in a medium-size city (50,000-250,000)","31.4","24.2","two","both own mother and father",28,2,31.4,24.2
"244","8","70","below average","south atlantic","in a small city or town (under 50,000)","iap","iap","none","both own mother and father",70,8,NA,NA
"245","12","59","below average","pacific","in a large city (over 250,000)","iap","39.7","none","mother only",59,12,NA,39.7
"246","1","20","below average","pacific","in a large city (over 250,000)","iap","iap","four","mother only",20,1,NA,NA
"247","8","55","below average","foreign","in a small city or town (under 50,000)","25.2","iap","four","both own mother and father",55,8,25.2,NA
"248","1","22","average","pacific","in a large city (over 250,000)","31.2","62.9","four","both own mother and father",22,1,31.2,62.9
"249","8","51","below average","foreign","in a large city (over 250,000)","39.7","13.2","four","both own mother and father",51,8,39.7,13.2
